Scheme_Code,Category,Scheme_Name,AMC_Name
118632,Large Cap Fund,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund
120586,Large Cap Fund,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,ICICI Prudential Mutual Fund
119018,Large Cap Fund,HDFC Large Cap Fund - Growth Option - Direct Plan,HDFC Mutual Fund
118269,Large Cap Fund,CANARA ROBECO LARGE CAP FUND - DIRECT PLAN - GROWTH OPTION,Canara Robeco Mutual Fund
119598,Large Cap Fund,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund
147704,Large & Mid Cap Fund,Motilal Oswal Large and Midcap Fund - Direct Plan Growth,Motilal Oswal Mutual Fund
120357,Large & Mid Cap Fund,Invesco India Large & Mid Cap Fund - Direct Plan - Growth,Invesco Mutual Fund
146772,Large & Mid Cap Fund,HSBC Large & Mid Cap Fund - Direct Growth,HSBC Mutual Fund
118419,Large & Mid Cap Fund,Bandhan Large & Mid Cap Fund - Direct Plan - Growth,Bandhan Mutual Fund
120826,Large & Mid Cap Fund,quant Large & Mid Cap Fund - Growth Option-Direct Plan,Quant Mutual Fund
120381,Mid Cap Fund,ICICI Prudential MidCap Fund - Direct Plan -  Growth,ICICI Prudential Mutual Fund
120403,Mid Cap Fund,Invesco India Midcap Fund - Direct Plan - Growth Option,Invesco Mutual Fund
142110,Mid Cap Fund,Mahindra Manulife Mid Cap Fund - Direct Plan -Growth,Mahindra Manulife Mutual Fund
118668,Mid Cap Fund,Nippon India Growth Mid Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund
147946,Small Cap Fund,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,Bandhan Mutual Fund
145678,Small Cap Fund,BANK OF INDIA Small Cap Fund Direct Plan Growth,Bank of India Mutual Fund
145137,Small Cap Fund,Invesco India Smallcap Fund - Direct Plan - Growth,Invesco Mutual Fund
129649,Small Cap Fund,Union Small Cap Fund - Direct Plan - Growth Option,Union Mutual Fund
120828,Small Cap Fund,quant Small Cap Fund - Growth Option - Direct Plan,Quant Mutual Fund
141226,Multi Cap Fund,Mahindra Manulife Multi Cap Fund - Direct Plan -Growth,Mahindra Manulife Mutual Fund
